%EASTINGS(m) NORTHINGS(m)
%EuropeCoastLine (1:2,000000)
nan nan
1233853.9 -573293.6
1233810.6 -573696.8
1233692.7 -574076.4
1233598.3 -574453.0
1233476.2 -574799.9
1233413.5 -575238.7
1233350.8 -575677.5
1233252.1 -576021.4
1232976.8 -576288.7
1232669.7 -576493.7
1232390.2 -576728.5
1232114.7 -576995.6
1231807.6 -577200.7
1231717.1 -577609.8
1231594.8 -577956.8
1231638.2 -578481.2
1231743.5 -578931.5
1231915.1 -579340.2
1232097.5 -579648.0
1232284.1 -579988.5
1232393.7 -580471.5
1232432.8 -580963.3
1232389.2 -581366.4
1232168.8 -581692.8
1231884.8 -581894.8
1231636.7 -582191.6
1231486.6 -582508.9
1231293.8 -582864.9
1231013.8 -583099.4
1230678.7 -583274.7
1230237.2 -583364.3
1229776.3 -583489.3
1229441.2 -583664.7
1229086.6 -583875.5
1228830.0 -584107.0
1228471.3 -584285.1
1228171.9 -584555.2
1227832.5 -584697.8
1227501.3 -584905.4
1227170.1 -585113.2
1226838.9 -585320.9
1226531.2 -585525.7
1226200.0 -585733.4
1225790.0 -585884.8
1225324.8 -585976.9
1224942.5 -586157.8
1224477.4 -586249.9
1224141.9 -586424.9
1223806.5 -586599.9
1223475.1 -586807.3
1223143.7 -587014.8
1222859.2 -587216.4
1222504.4 -587426.9
1222232.2 -587726.1
1222002.9 -587986.9
1221758.3 -588315.7
1221552.4 -588573.6
1221378.1 -588893.5
1221203.9 -589213.5
1221088.9 -589625.3
1220910.5 -589912.7
1220795.5 -590324.5
1220644.6 -590641.6
1220442.6 -590931.8
1220351.0 -591340.8
1220176.6 -591660.7
1220029.7 -592010.2
1219776.7 -592273.9
1219551.1 -592567.1
1219349.1 -592857.3
1219151.0 -593180.2
1219027.6 -593526.7
1218986.8 -593962.3
1218997.1 -594424.5
1218984.0 -594889.7
1218915.6 -595295.5
1218981.1 -595817.1
1218967.9 -596282.2
1219033.3 -596803.6
1219094.7 -597292.6
1219136.6 -597817.0
1219303.2 -598193.5
1219450.3 -598605.3
1219554.6 -599055.7
1219379.9 -599375.6
1219153.9 -599668.8
1218872.8 -599902.7
1218568.1 -600139.5
1218235.9 -600346.6
1218009.9 -600639.8
1217803.3 -600897.3
1217683.6 -601276.5
1217563.8 -601655.6
1217439.9 -602002.2
1217269.0 -602354.5
1217117.5 -602671.5
1216867.9 -602967.4
1216586.5 -603201.3
1216305.2 -603435.0
1216023.7 -603668.7
1215746.4 -603934.9
1215516.1 -604195.4
1215234.6 -604429.1
1215059.4 -604748.8
1214888.3 -605101.2
1214713.0 -605420.9
1214561.4 -605737.6
1214496.4 -606176.0
1214427.4 -606581.8
1214437.1 -607044.0
1214478.4 -607568.3
1214687.8 -607906.4
1214830.6 -608285.9
1215016.5 -608626.9
1215264.8 -608893.9
1215431.2 -609270.3
1215640.6 -609608.4
1215689.3 -609999.5
1215462.8 -610292.5
1215129.8 -610499.4
1214737.6 -610614.3
1214270.7 -610705.5
1213937.8 -610912.3
1213581.2 -611122.0
1213295.3 -611323.0
1213147.3 -611672.4
1212948.1 -611994.9
1212800.1 -612344.1
1212675.7 -612690.6
1212559.2 -613102.1
1212513.4 -613504.9
1212263.0 -613800.7
1211925.8 -613974.9
1211537.4 -614122.2
1211148.9 -614269.5
1210737.0 -614419.7
1210454.8 -614653.1
1210172.7 -614886.4
1209945.7 -615179.2
1209714.7 -615439.3
1209487.6 -615732.0
1209390.5 -616108.0
1209269.6 -616486.9
1209148.9 -616865.8
1209102.8 -617268.5
1208930.8 -617620.7
1208699.6 -617880.7
1208417.3 -618114.0
1208060.2 -618323.4
1207722.6 -618497.3
1207333.9 -618644.3
1206870.4 -618767.4
1206403.0 -618857.9
1206014.2 -619004.9
1205680.5 -619211.2
1205394.1 -619411.7
1205115.5 -619677.5
1204809.4 -619913.4
1204471.7 -620087.1
1204138.0 -620293.3
1203804.2 -620499.6
1203521.7 -620732.6
1203290.2 -620992.4
1203011.5 -621258.1
1202724.8 -621458.5
1202335.8 -621605.2
1201950.8 -621784.5
1201589.5 -621960.9
